name,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10
NVDA,-0.47432897690177916,-0.82039739356301,-1.1113875000052633,-1.3700595993556952,-1.5977052972747825,-1.7752744811907586,-1.977195156806825,-2.162421309946964,-2.2847486017027,-2.4633754018317098
AAPL,-0.686448966829328,-1.1170926024755654,-1.492780230096219,-1.7734242477565312,-2.053054536378272,-2.2847486017027,-2.4796305340295475,-2.69519642312547,-2.8346314809778623,-2.994082558905509
MSFT,-0.8097102176621397,-1.3253847130955578,-1.7411124869535166,-2.046786997218423,-2.264375953059876,-2.4633754018317098,-2.654088942641608,-2.8139479831547503,-2.9323172371449133,-3.029837028801329
AMZN,-0.5937431816821842,-1.0246013918044958,-1.3564680378044396,-1.600458686454064,-1.7998999745025142,-1.9993294704355098,-2.120663321028304,-2.259426639852963,-2.411098038393774,-2.4965685244309896
AVGO,-0.637395565898332,-1.112198476378626,-1.503213083739478,-1.8292559159733521,-2.1040190303561412,-2.3474989326266384,-2.586618972085669,-2.7072365634904454,-2.8170872946331817,-2.8507575156103364
GOOGL,-0.7981694249885459,-1.312578843806686,-1.7152823540705584,-1.9808313345737556,-2.2913129064776574,-2.515020451896647,-2.644424264550653,-2.8177987930440365,-3.057525338025326,-3.372863119704279
GOOG,-0.7956078606264627,-1.3147885009480111,-1.707219345102413,-1.9875066264810881,-2.2913129064776574,-2.515020451896647,-2.6601301114052265,-2.8177987930440365,-3.057525338025326,-3.372863119704279
META,-0.6728827334869528,-1.149109215447694,-1.5155426560127718,-1.7678840369951838,-2.0567733866114577,-2.2487949088195043,-2.4879905314120188,-2.5783615438971466,-2.696497171559171,-2.828851783264797
TSLA,-0.458859292721778,-0.7944035587972353,-1.0794906907741382,-1.3537778000040541,-1.5972953022596412,-1.7974095203803528,-1.9757736392359537,-2.134477782752373,-2.307717318884014,-2.411448686856526
BRK-B,-1.0629346414791006,-1.710522524184857,-2.117045310895952,-2.397302394269086,-2.6170298751918515,-2.8346314809778623,-3.0699424590340376,-3.233360977747898,-3.3146523927384957,-3.6102880350485664
JPM,-0.742866815423574,-1.221897358754522,-1.5708145878731772,-1.8400609439934088,-2.1098913351633066,-2.2847486017027,-2.4633754018317098,-2.6054369881979067,-2.7099735383976475,-2.794402495947033
LLY,-0.8311791039370393,-1.4000692475119656,-1.8634793044721083,-2.1996321818220173,-2.4401505072139695,-2.6413291991609484,-2.8800482509373944,-2.994082558905509,-3.0699424590340376,-3.169068054888483
